trades,win_rate,avg_r,profit_factor,long_trades,short_trades,symbol
43,44.2,0.12,1.21,12,31,INFY
27,37.0,0.113,1.19,15,12,EMAMILTD
24,45.8,0.103,1.2,11,13,BAJAJFINSV
19,47.4,0.101,1.21,5,14,BATAINDIA
30,46.7,0.096,1.19,15,15,EIDPARRY
27,44.4,0.091,1.16,13,14,DEEPAKNTR
53,43.4,0.081,1.15,18,35,SIEMENS
37,43.2,0.081,1.15,15,22,NAUKRI
56,37.5,0.078,1.12,36,20,GLENMARK
31,35.5,0.075,1.12,22,9,ADANIPORTS
26,46.2,0.074,1.15,13,13,INDIAMART
12,41.7,0.068,1.12,10,2,DIVISLAB
27,37.0,0.064,1.11,19,8,BAJAJ-AUTO
12,33.3,0.063,1.09,7,5,FEDERALBNK
39,43.6,0.06,1.11,32,7,TATAPOWER
31,38.7,0.056,1.09,23,8,LICHSGFIN
57,42.1,0.053,1.09,35,22,BHEL
31,45.2,0.052,1.09,24,7,DRREDDY
38,36.8,0.048,1.08,20,18,SYNGENE
57,38.6,0.045,1.07,30,27,HEROMOTOCO
43,37.2,0.042,1.07,22,21,TITAN
24,41.7,0.038,1.07,21,3,SJVN
38,44.7,0.036,1.06,11,27,GODREJCP
55,41.8,0.028,1.05,31,24,SAIL
39,38.5,0.02,1.03,15,24,LODHA
20,45.0,0.016,1.03,11,9,KANSAINER
23,39.1,0.014,1.02,4,19,MARUTI
14,35.7,0.001,1.0,9,5,ITC
40,25.0,-0.006,0.99,30,10,IPCALAB
31,35.5,-0.007,0.99,15,16,BEL
29,31.0,-0.015,0.98,11,18,CANFINHOME
27,33.3,-0.022,0.97,11,16,JIOFIN
35,40.0,-0.029,0.95,24,11,JBCHEPHARM
31,32.3,-0.03,0.95,14,17,HAVELLS
26,38.5,-0.034,0.94,12,14,GNFC
37,35.1,-0.036,0.94,15,22,ABB
17,41.2,-0.038,0.94,1,16,AMBUJACEM
42,40.5,-0.039,0.94,21,21,ADANIGREEN
37,37.8,-0.045,0.93,23,14,TRENT
50,34.0,-0.045,0.93,23,27,RECLTD
20,40.0,-0.048,0.92,12,8,HDFCAMC
37,37.8,-0.052,0.92,13,24,CROMPTON
34,38.2,-0.054,0.91,16,18,TATASTEEL
25,36.0,-0.062,0.9,10,15,FINPIPE
23,34.8,-0.063,0.9,12,11,PETRONET
61,36.1,-0.063,0.9,32,29,PERSISTENT
54,35.2,-0.063,0.9,30,24,UNIONBANK
27,33.3,-0.067,0.9,6,21,MAXHEALTH
43,34.9,-0.069,0.89,22,21,KALYANKJIL
44,31.8,-0.075,0.89,20,24,MANAPPURAM
51,33.3,-0.082,0.87,18,33,KEI
22,36.4,-0.086,0.85,5,17,BRITANNIA
32,34.4,-0.093,0.85,9,23,INDUSTOWER
29,37.9,-0.096,0.85,17,12,BERGEPAINT
23,34.8,-0.106,0.84,20,3,ASIANPAINT
14,21.4,-0.109,0.86,7,7,PNB
50,40.0,-0.111,0.82,12,38,DALBHARAT
34,35.3,-0.115,0.82,7,27,HINDCOPPER
42,33.3,-0.117,0.83,14,28,BANDHANBNK
13,38.5,-0.118,0.81,7,6,M&M
35,31.4,-0.118,0.82,21,14,BHARTIARTL
25,36.0,-0.123,0.8,10,15,AARTIIND
20,30.0,-0.145,0.79,4,16,AXISBANK
35,37.1,-0.148,0.76,20,15,MGL
35,37.1,-0.149,0.76,18,17,LUPIN
26,34.6,-0.15,0.77,22,4,PIDILITIND
38,36.8,-0.156,0.75,22,16,POWERGRID
50,34.0,-0.158,0.76,28,22,CGPOWER
25,36.0,-0.158,0.75,14,11,IDFCFIRSTB
37,35.1,-0.164,0.74,11,26,CAMS
35,31.4,-0.164,0.75,23,12,LALPATHLAB
35,28.6,-0.17,0.76,18,17,THERMAX
39,30.8,-0.17,0.75,30,9,HINDUNILVR
39,33.3,-0.171,0.74,22,17,TIINDIA
32,31.2,-0.176,0.74,26,6,NTPC
21,33.3,-0.179,0.73,3,18,ACC
44,31.8,-0.18,0.74,25,19,ADANIENSOL
34,38.2,-0.18,0.71,16,18,EICHERMOT
19,31.6,-0.182,0.73,16,3,OBEROIRLTY
13,30.8,-0.183,0.74,5,8,CDSL
35,28.6,-0.185,0.74,10,25,SBIN
27,25.9,-0.201,0.73,12,15,ABCAPITAL
27,29.6,-0.209,0.7,9,18,HAL
35,37.1,-0.215,0.66,14,21,DABUR
47,31.9,-0.218,0.68,36,11,TORNTPOWER
38,28.9,-0.22,0.69,25,13,VBL
39,28.2,-0.225,0.69,21,18,MCX
39,30.8,-0.227,0.67,14,25,FLUOROCHEM
18,27.8,-0.23,0.68,9,9,APOLLOHOSP
41,31.7,-0.234,0.66,27,14,RRKABEL
47,31.9,-0.244,0.64,8,39,COROMANDEL
23,21.7,-0.245,0.69,17,6,TATACONSUM
22,31.8,-0.248,0.64,17,5,FORTIS
18,27.8,-0.249,0.66,10,8,LICI
29,31.0,-0.253,0.61,19,10,IOLCP
39,28.2,-0.254,0.65,30,9,POLICYBZR
4,25.0,-0.259,0.65,3,1,HDFCBANK
28,28.6,-0.269,0.61,12,16,MEDANTA
25,28.0,-0.27,0.63,10,15,SBILIFE
24,29.2,-0.276,0.61,6,18,HDFCLIFE
33,30.3,-0.279,0.6,19,14,ONGC
40,30.0,-0.282,0.6,21,19,TVSMOTOR
45,24.4,-0.284,0.62,25,20,COALINDIA
28,25.0,-0.302,0.6,15,13,BAJAJHLDNG
23,30.4,-0.303,0.57,14,9,IOC
40,32.5,-0.304,0.55,18,22,INDUSINDBK
19,31.6,-0.305,0.55,11,8,TRIDENT
42,23.8,-0.333,0.56,19,23,KAYNES
31,29.0,-0.334,0.53,14,17,AUBANK
32,28.1,-0.347,0.52,16,16,BIOCON
30,26.7,-0.347,0.51,13,17,GAIL
30,26.7,-0.348,0.5,20,10,JSWSTEEL
39,25.6,-0.349,0.53,13,26,BLUESTARCO
22,22.7,-0.36,0.51,11,11,RELIANCE
19,26.3,-0.364,0.51,11,8,CIPLA
28,28.6,-0.374,0.48,14,14,SUNPHARMA
31,22.6,-0.375,0.5,22,9,AUROPHARMA
15,26.7,-0.375,0.49,8,7,IRFC
25,28.0,-0.38,0.47,18,7,ZYDUSLIFE
16,25.0,-0.387,0.48,8,8,PFIZER
27,22.2,-0.392,0.5,11,16,NIACL
31,25.8,-0.397,0.46,18,13,JSWINFRA
25,28.0,-0.399,0.45,11,14,PCBL
32,25.0,-0.401,0.45,17,15,SUPREMEIND
34,26.5,-0.402,0.45,12,22,INDIANB
39,25.6,-0.406,0.45,17,22,INDHOTEL
24,20.8,-0.407,0.49,14,10,OLECTRA
27,25.9,-0.408,0.45,9,18,VOLTAS
9,22.2,-0.414,0.47,5,4,ICICIBANK
49,22.4,-0.426,0.45,13,36,PRESTIGE
35,22.9,-0.453,0.41,19,16,GRASIM
20,20.0,-0.456,0.4,15,5,NHPC
22,18.2,-0.507,0.35,9,13,DLF
13,23.1,-0.524,0.32,5,8,BANKBARODA
33,24.2,-0.538,0.29,19,14,UBL
31,16.1,-0.552,0.34,12,19,CHOLAFIN
22,18.2,-0.558,0.32,10,12,CANBK
18,16.7,-0.571,0.32,14,4,NESTLEIND
29,13.8,-0.593,0.3,15,14,ADANIENT
23,13.0,-0.601,0.31,13,10,HUDCO
31,12.9,-0.618,0.25,13,18,BPCL
8,12.5,-0.658,0.25,3,5,IRCTC
