trades,win_rate,avg_r,profit_factor,long_trades,short_trades,symbol
26,50.0,1.137,3.27,13,13,TATACHEM
27,55.6,0.663,2.56,4,23,MFSL
37,45.9,0.541,2.0,20,17,NAVINFLUOR
34,55.9,0.531,2.2,17,17,SOLARINDS
24,62.5,0.52,2.39,13,11,SKFINDIA
54,50.0,0.515,2.11,26,28,COFORGE
34,52.9,0.505,2.07,17,17,HINDALCO
26,53.8,0.501,2.09,15,11,JUBLFOOD
9,55.6,0.5,2.12,1,8,PATANJALI
28,46.4,0.491,1.92,16,12,PIIND
41,51.2,0.472,1.97,10,31,JKCEMENT
58,46.6,0.453,1.85,19,39,HCLTECH
32,56.2,0.446,2.02,7,25,APLAPOLLO
40,50.0,0.44,1.88,10,30,ESCORTS
24,45.8,0.425,1.78,18,6,TORNTPHARM
42,45.2,0.418,1.76,9,33,TATAELXSI
41,43.9,0.406,1.75,15,26,SRF
25,52.0,0.391,1.82,13,12,NYKAA
43,41.9,0.385,1.68,16,27,BOSCHLTD
58,44.8,0.383,1.71,20,38,KPITTECH
53,43.4,0.348,1.61,16,37,GODREJPROP
31,45.2,0.336,1.61,8,23,ETERNAL
42,38.1,0.319,1.52,19,23,CHOLAHLDNG
29,51.7,0.318,1.66,13,16,JYOTHYLAB
36,52.8,0.309,1.66,3,33,ULTRACEMCO
20,35.0,0.307,1.47,4,16,BAJFINANCE
46,50.0,0.305,1.62,31,15,OFSS
27,51.9,0.295,1.61,7,20,BALKRISIND
58,44.8,0.283,1.51,38,20,MPHASIS
44,52.3,0.283,1.59,26,18,SCHAEFFLER
39,51.3,0.258,1.55,13,26,RBLBANK
42,42.9,0.253,1.44,22,20,ASTRAL
45,46.7,0.252,1.49,33,12,PFC
16,43.8,0.249,1.44,5,11,LT
31,45.2,0.243,1.44,7,24,POONAWALLA
32,50.0,0.242,1.5,21,11,NMDC
47,46.8,0.237,1.45,19,28,SHRIRAMFIN
43,51.2,0.237,1.49,27,16,POLYCAB
39,46.2,0.222,1.43,7,32,MUTHOOTFIN
38,44.7,0.206,1.37,20,18,TECHM
32,40.6,0.205,1.34,19,13,LTTS
24,37.5,0.201,1.33,18,6,EXIDEIND
22,45.5,0.199,1.36,7,15,METROPOLIS
26,50.0,0.19,1.38,11,15,RITES
49,40.8,0.186,1.31,31,18,CREDITACC
37,48.6,0.185,1.37,9,28,MAHLIFE
24,41.7,0.185,1.33,9,15,KOTAKBANK
38,44.7,0.18,1.34,17,21,DCBBANK
18,44.4,0.177,1.35,7,11,WIPRO
23,34.8,0.171,1.26,19,4,ALKEM
49,40.8,0.169,1.29,24,25,JINDALSTEL
27,44.4,0.168,1.3,15,12,MOTHERSON
46,37.0,0.162,1.26,34,12,JSWENERGY
35,40.0,0.153,1.26,23,12,SONACOMS
22,50.0,0.139,1.28,12,10,GICRE
29,44.8,0.135,1.24,14,15,CUMMINSIND
28,46.4,0.134,1.25,24,4,PAGEIND
40,40.0,0.134,1.23,23,17,DMART
30,50.0,0.126,1.27,16,14,GLAXO
53,43.4,0.125,1.23,32,21,VEDL
