trades,win_rate,avg_r,profit_factor,long_trades,short_trades,symbol
92,32.6,-0.193,0.71,35,57,IDFCFIRSTB
66,25.8,-0.205,0.72,34,32,CIPLA
94,28.7,-0.213,0.7,42,52,HAL
151,29.1,-0.232,0.67,86,65,MCX
109,27.5,-0.241,0.66,69,40,DMART
149,27.5,-0.25,0.66,88,61,COALINDIA
68,29.4,-0.25,0.64,48,20,NHPC
102,30.4,-0.257,0.63,29,73,EICHERMOT
205,29.8,-0.257,0.63,116,89,VEDL
102,29.4,-0.26,0.63,29,73,MAXHEALTH
105,29.5,-0.269,0.62,56,49,POWERGRID
58,24.1,-0.276,0.64,29,29,FEDERALBNK
92,26.1,-0.304,0.59,66,26,VBL
121,26.4,-0.306,0.58,72,49,LALPATHLAB
95,23.2,-0.333,0.56,25,70,SBIN
72,25.0,-0.348,0.53,24,48,BRITANNIA
103,26.2,-0.359,0.51,45,58,CHOLAFIN
95,26.3,-0.362,0.51,40,55,LUPIN
69,24.6,-0.374,0.5,45,24,NESTLEIND
99,26.3,-0.376,0.48,54,45,GAIL
99,27.3,-0.381,0.47,57,42,UBL
95,23.2,-0.403,0.47,60,35,IRCTC
55,25.5,-0.416,0.44,21,34,IRFC
28,21.4,-0.512,0.35,17,11,ICICIBANK
