exit_reason,exit_time,entry_credit,exit_credit,pnl,entry_time,entry_date,expiry,signal,short_offset,hedge_offset,option_type,lot_size
Trend Reversal,2022-02-10 11:15:00,66.05,60.45,280.0,2022-02-08 10:00:00,2022-02-08,2022-02-24,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-02-11 09:15:00,52.6,18.41,1709.5,2022-02-10 11:00:00,2022-02-10,2022-02-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Trend Reversal,2022-02-15 13:15:00,63.6,61.0,130.0,2022-02-14 12:00:00,2022-02-14,2022-02-24,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-02-16 14:15:00,51.5,18.02,1673.75,2022-02-16 12:00:00,2022-02-16,2022-02-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-03-02 09:15:00,7.55,13.97,-320.88,2022-02-28 15:00:00,2022-02-28,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-03-03 09:15:00,59.95,110.91,-2547.88,2022-03-02 15:00:00,2022-03-02,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-03-03 12:15:00,51.2,94.72,-2176.0,2022-03-03 11:00:00,2022-03-03,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-03-08 11:15:00,53.95,99.81,-2292.88,2022-03-08 11:00:00,2022-03-08,2022-03-31,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2022-03-09 11:15:00,39.3,72.71,-1670.25,2022-03-09 11:00:00,2022-03-09,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-03-15 09:15:00,51.9,96.02,-2205.75,2022-03-14 12:00:00,2022-03-14,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2022-03-17 09:15:00,50.35,5.0,2267.5,2022-03-16 11:00:00,2022-03-16,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-03-21 09:15:00,48.95,17.13,1590.87,2022-03-17 11:00:00,2022-03-17,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-03-23 12:15:00,48.8,17.08,1586.0,2022-03-22 15:00:00,2022-03-22,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-03-30 09:15:00,18.55,6.49,602.87,2022-03-29 15:00:00,2022-03-29,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-03-30 13:15:00,19.45,35.98,-826.63,2022-03-30 11:00:00,2022-03-30,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-03-31 12:15:00,10.7,3.74,347.75,2022-03-31 10:00:00,2022-03-31,2022-03-31,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-04-04 09:15:00,48.2,89.17,-2048.5,2022-04-01 14:00:00,2022-04-01,2022-04-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-04-08 09:15:00,76.1,26.64,2473.25,2022-04-07 13:00:00,2022-04-07,2022-04-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
